__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_5_repetition_42,DONE,Claude,SWA,2125.0,2261.0,1897.0,2350.0,0.29,12.81,0.83,86.14,25127051264.0,1802481293.27,4294963200.0,0.0,77817835.146,509199.047,27486442.333,295.883,14.171638488769531
run_6_repetition_42,DONE,Gemeni,BB,2124.0,1187.0,2018.0,2350.0,9.09,11.43,14.29,13.89,25127051264.0,677818368.0,4294963200.0,0.0,340860.619,2646.38,120455.749,1.296,0.3911094665527344
run_7_repetition_42,DONE,Gemeni,BFA,400.0,400.0,2247.0,2381.0,0.72,94.98,0.28,4.28,25127051264.0,686461500.65,4294963200.0,0.0,106478717.05,970120.365,37655912.101,404.848,19.24518084526062
run_8_repetition_42,DONE,Gemeni,SWA,2182.0,1019.0,400.0,2354.0,0.92,73.66,0.43,24.49,25127051264.0,1110462219.87,4294963200.0,0.0,51486571.213,549182.912,18228186.299,195.833,9.495811223983765
run_0_repetition_43,DONE,ChatGPT,BB,2341.0,872.0,400.0,2397.0,0.81,99.02,0.2,0.22,25127051264.0,975967719.23,4294963200.0,0.0,112766722.854,1379072.681,39967546.831,428.854,20.37576127052307
run_1_repetition_43,DONE,ChatGPT,BFA,2361.0,1076.0,2277.0,2182.0,98.87,0.26,0.56,0.53,25127051264.0,688520066.48,4294963200.0,0.0,105737897.462,1484562.138,37534919.828,402.277,19.1490797996521
run_2_repetition_43,DONE,ChatGPT,SWA,2399.0,2399.0,2400.0,2400.0,0.69,76.15,0.3,23.28,25127051264.0,1884663388.85,4294963200.0,0.0,87789364.205,1381895.652,31205797.137,333.933,15.900002717971802
run_3_repetition_43,DONE,Claude,BB,2400.0,1214.0,2400.0,2400.0,59.07,0.69,40.37,0.19,25127051264.0,1138400941.08,4294963200.0,0.0,112713580.062,1968011.104,40120553.956,428.905,20.374229431152344
run_4_repetition_43,DONE,Claude,BFA,700.0,700.0,2226.0,2397.0,0.87,97.76,0.38,1.48,25127051264.0,680166297.7,4294963200.0,0.0,112734127.447,2173738.192,40190479.164,428.99,20.369204998016357
run_5_repetition_43,DONE,Claude,SWA,835.0,2400.0,2400.0,777.0,93.34,0.83,5.66,0.22,25127051264.0,1803920856.5,4294963200.0,0.0,78165490.234,1637399.206,27901794.719,297.46,14.206972122192383
run_6_repetition_43,DONE,Gemeni,BB,1255.0,2400.0,2400.0,874.0,14.71,12.12,14.29,17.14,25127051264.0,683364352.0,4294963200.0,0.0,341386.755,7566.353,121918.759,1.299,0.38133859634399414
run_7_repetition_43,DONE,Gemeni,BFA,2400.0,400.0,828.0,2400.0,93.2,0.77,6.11,0.16,25127051264.0,684762437.32,4294963200.0,0.0,106756856.17,2509312.651,38153401.159,406.367,19.24492573738098
run_8_repetition_43,DONE,Gemeni,SWA,1119.0,800.0,2400.0,2400.0,97.91,0.5,0.47,1.12,25127051264.0,1112773151.72,4294963200.0,0.0,51452181.053,1289122.222,18408293.842,195.917,9.450294256210327
run_0_repetition_44,DONE,ChatGPT,BB,400.0,400.0,2160.0,2106.0,98.91,0.56,0.23,0.66,25127051264.0,987968694.89,4294963200.0,0.0,112826858.727,3003542.115,40411181.504,429.631,20.381072759628296
run_1_repetition_44,DONE,ChatGPT,BFA,2100.0,400.0,2100.0,2100.0,0.53,98.95,0.24,0.5,25127051264.0,688533459.96,4294963200.0,0.0,105900971.089,3009947.478,37988731.958,403.185,19.12414860725403
run_2_repetition_44,DONE,ChatGPT,SWA,2172.0,800.0,801.0,2398.0,98.52,0.8,0.82,0.28,25127051264.0,1887165667.11,4294963200.0,0.0,87810776.929,2644811.419,31541742.751,334.487,15.891721963882446
